Date,price
07/14/2022,1090.67
07/13/2022,1090.67
07/12/2022,1028.19
07/11/2022,1028.19
07/08/2022,1028.19
07/07/2022,1028.19
07/06/2022,1028.19
07/05/2022,998.95
07/01/2022,998.95
06/30/2022,998.95
06/29/2022,998.95
06/28/2022,987.81
06/27/2022,987.81
06/24/2022,987.81
06/23/2022,987.81
06/22/2022,987.81
06/21/2022,960.93
06/17/2022,960.93
06/16/2022,960.93
06/15/2022,960.93
06/14/2022,942.74
06/13/2022,942.74
06/10/2022,942.74
06/09/2022,942.74
06/08/2022,942.74
06/07/2022,917.08
06/06/2022,917.08
06/03/2022,917.08
06/02/2022,917.08
06/01/2022,917.08
05/31/2022,935.45
05/27/2022,935.45
05/26/2022,935.45
05/25/2022,935.45
05/24/2022,935.38
05/23/2022,935.38
05/20/2022,935.38
05/19/2022,935.38
05/18/2022,935.38
05/17/2022,934.9
05/16/2022,934.9
05/13/2022,934.9
05/12/2022,934.9
05/11/2022,934.9
05/10/2022,935.58
05/09/2022,935.58
05/06/2022,935.58
05/05/2022,935.58
05/04/2022,935.58
05/03/2022,938.59
05/02/2022,938.59
04/29/2022,938.59
04/28/2022,938.59
04/27/2022,938.59
04/26/2022,899.5
04/25/2022,899.5
04/22/2022,899.5
04/21/2022,899.5
04/20/2022,899.5
04/19/2022,792.61
04/18/2022,792.61
04/14/2022,792.61
04/13/2022,792.61
04/12/2022,792.42
04/11/2022,792.42
04/08/2022,792.42
04/07/2022,792.42
04/06/2022,792.42
04/05/2022,792.99
04/04/2022,792.99
04/01/2022,792.99
03/31/2022,792.99
03/30/2022,792.99
03/29/2022,793.2
03/28/2022,793.2
03/25/2022,793.2
03/24/2022,793.2
03/23/2022,793.2
03/22/2022,793.06
03/21/2022,793.06
03/18/2022,793.06
03/17/2022,793.06
03/16/2022,793.06
03/15/2022,792.77
03/14/2022,792.77
03/11/2022,792.77
03/10/2022,792.77
03/09/2022,792.77
03/08/2022,792.56
03/07/2022,792.56
03/04/2022,792.56
03/03/2022,792.56
03/02/2022,792.56
03/01/2022,789.69
02/28/2022,789.69
02/25/2022,789.69
02/24/2022,789.69
02/23/2022,789.69
02/22/2022,758.55
02/18/2022,758.55
02/17/2022,758.55
02/16/2022,758.55
02/15/2022,694.08
02/14/2022,694.08
02/11/2022,694.08
02/10/2022,694.08
02/09/2022,694.08
02/08/2022,689.61
02/07/2022,689.61
02/04/2022,689.61
02/03/2022,689.61
02/02/2022,689.61
02/01/2022,685.97
01/31/2022,685.97
01/28/2022,685.97
01/27/2022,685.97
01/26/2022,685.97
01/25/2022,707.87
01/24/2022,707.87
01/21/2022,707.87
01/20/2022,707.87
01/19/2022,707.87
01/18/2022,706.39
01/14/2022,706.39
01/13/2022,706.39
01/12/2022,706.39
01/11/2022,733.9
01/10/2022,733.9
01/07/2022,733.9
01/06/2022,733.9
01/05/2022,733.9
01/04/2022,733.83
01/03/2022,733.83
12/31/2021,733.83
12/30/2021,733.83
12/29/2021,733.83
12/28/2021,732.45
12/27/2021,732.45
12/23/2021,732.45
12/22/2021,732.45
12/21/2021,728.44
12/20/2021,728.44
12/17/2021,728.44
12/16/2021,728.44
12/15/2021,728.44
12/14/2021,728.27
12/13/2021,728.27
12/10/2021,728.27
12/09/2021,728.27
12/08/2021,728.27
12/07/2021,728.3
12/06/2021,728.3
12/03/2021,728.3
12/02/2021,728.3
12/01/2021,728.3
11/30/2021,728
11/29/2021,728
11/26/2021,728
11/24/2021,728
11/23/2021,733.42
11/22/2021,733.42
11/19/2021,733.42
11/18/2021,733.42
11/17/2021,733.42
11/16/2021,752.1
11/15/2021,752.1
11/12/2021,752.1
11/11/2021,752.1
11/10/2021,752.1
11/09/2021,758.93
11/08/2021,758.93
11/05/2021,758.93
11/04/2021,758.93
11/03/2021,758.93
11/02/2021,785.19
11/01/2021,785.19
10/29/2021,785.19
10/28/2021,785.19
10/27/2021,785.19
10/26/2021,790.65
10/25/2021,790.65
10/22/2021,790.65
10/21/2021,790.65
10/20/2021,790.65
10/19/2021,813.6
10/18/2021,813.6
10/15/2021,813.6
10/14/2021,813.6
10/13/2021,813.6
10/12/2021,860.69
10/11/2021,860.69
10/08/2021,860.69
10/07/2021,860.69
10/06/2021,860.69
10/05/2021,863.04
10/04/2021,863.04
10/01/2021,863.04
09/30/2021,863.04
09/29/2021,863.04
09/28/2021,871.96
09/27/2021,871.96
09/24/2021,871.96
09/23/2021,871.96
09/22/2021,871.96
09/21/2021,872.93
09/20/2021,872.93
09/17/2021,872.93
09/16/2021,872.93
09/15/2021,872.93
09/14/2021,913.97
09/13/2021,913.97
09/10/2021,913.97
09/09/2021,913.97
09/08/2021,913.97
09/07/2021,918.45
09/03/2021,918.45
09/02/2021,918.45
09/01/2021,918.45
08/31/2021,936.22
08/30/2021,936.22
08/27/2021,936.22
08/26/2021,936.22
08/25/2021,936.22
08/24/2021,923.54
08/23/2021,923.54
08/20/2021,923.54
08/19/2021,923.54
08/18/2021,923.54
08/17/2021,900.4
08/16/2021,900.4
08/13/2021,900.4
08/12/2021,900.4
08/11/2021,900.4
08/10/2021,892.33
08/09/2021,892.33
08/06/2021,892.33
08/05/2021,892.33
08/04/2021,892.33
08/03/2021,842.38
08/02/2021,842.38
07/30/2021,842.38
07/29/2021,842.38
07/28/2021,842.38
07/27/2021,842.38
07/26/2021,842.38
07/23/2021,842.38
07/22/2021,842.38
07/21/2021,842.38
07/20/2021,820.86
07/19/2021,820.86
07/16/2021,820.86
07/15/2021,820.86
07/14/2021,820.86
07/13/2021,841.21
07/12/2021,841.21
07/09/2021,841.21
07/08/2021,841.21
07/07/2021,841.21
07/06/2021,839
07/02/2021,839
07/01/2021,839
06/30/2021,839
06/29/2021,857.61
06/28/2021,857.61
06/25/2021,857.61
06/24/2021,857.61
06/23/2021,857.61
06/22/2021,858.55
06/21/2021,858.55
06/18/2021,858.55
06/17/2021,858.55
06/16/2021,858.55
06/15/2021,859.31
06/14/2021,859.31
06/11/2021,859.31
06/10/2021,859.31
06/09/2021,859.31
06/08/2021,856.71
06/07/2021,856.71
06/04/2021,856.71
06/03/2021,856.71
06/02/2021,856.71
06/01/2021,867
05/28/2021,867
05/27/2021,867
05/26/2021,867
05/25/2021,869.36
05/24/2021,869.36
05/21/2021,869.36
05/20/2021,869.36
05/19/2021,869.36
05/18/2021,877.36
05/17/2021,877.36
05/14/2021,877.36
05/13/2021,877.36
05/12/2021,877.36
05/11/2021,877.05
05/10/2021,877.05
05/07/2021,877.05
05/06/2021,877.05
05/05/2021,877.05
05/04/2021,868.7
05/03/2021,868.7
04/30/2021,868.7
04/29/2021,868.7
04/28/2021,868.7
04/27/2021,831.97
04/26/2021,831.97
04/23/2021,831.97
04/22/2021,831.97
04/21/2021,831.97
04/20/2021,783.94
04/19/2021,783.94
04/16/2021,783.94
04/15/2021,783.94
04/14/2021,783.94
04/13/2021,783.94
04/12/2021,783.94
04/09/2021,783.94
04/08/2021,783.94
04/07/2021,783.94
04/06/2021,772.1
04/05/2021,772.1
04/01/2021,772.1
03/31/2021,772.1
03/30/2021,685.89
03/29/2021,685.89
03/26/2021,685.89
03/25/2021,685.89
03/24/2021,685.89
03/23/2021,529.58
03/22/2021,529.58
03/19/2021,529.58
03/18/2021,529.58
03/17/2021,529.58
03/16/2021,529.71
03/15/2021,529.71
03/12/2021,529.71
03/11/2021,529.71
03/10/2021,529.71
03/09/2021,529.66
03/08/2021,529.66
03/05/2021,529.66
03/04/2021,529.66
03/03/2021,529.66
03/02/2021,529.43
03/01/2021,529.43
02/26/2021,529.43
02/25/2021,529.43
02/24/2021,529.43
02/23/2021,529.15
02/22/2021,529.15
02/19/2021,529.15
02/18/2021,529.15
02/17/2021,529.15
02/16/2021,528.88
02/12/2021,528.88
02/11/2021,528.88
02/10/2021,528.88
02/09/2021,524.11
02/08/2021,524.11
02/05/2021,524.11
02/04/2021,524.11
02/03/2021,524.11
02/02/2021,507.78
02/01/2021,507.78
01/29/2021,507.78
01/28/2021,507.78
01/27/2021,507.78
01/26/2021,506.66
01/25/2021,506.66
01/22/2021,506.66
01/21/2021,506.66
01/20/2021,506.66
01/19/2021,502.58
01/15/2021,502.58
01/14/2021,502.58
01/13/2021,502.58
01/12/2021,499.83
01/11/2021,499.83
01/08/2021,499.83
01/07/2021,499.83
01/06/2021,499.83
01/05/2021,492.56
01/04/2021,492.56
12/31/2020,492.56
12/30/2020,492.56
12/29/2020,504.29
12/28/2020,504.29
12/24/2020,504.29
12/23/2020,504.29
12/22/2020,489.23
12/21/2020,489.23
12/18/2020,489.23
12/17/2020,489.23
12/16/2020,489.23
12/15/2020,489.11
12/14/2020,489.11
12/11/2020,489.11
12/10/2020,489.11
12/09/2020,489.11
12/08/2020,486.53
12/07/2020,486.53
12/04/2020,486.53
12/03/2020,486.53
12/02/2020,486.53
12/01/2020,481.42
11/30/2020,481.42
11/27/2020,481.42
11/25/2020,481.42
11/24/2020,481.57
11/23/2020,481.57
11/20/2020,481.57
11/19/2020,481.57
11/18/2020,481.57
11/17/2020,480.03
11/16/2020,480.03
11/13/2020,480.03
11/12/2020,480.03
11/11/2020,480.03
11/10/2020,480.03
11/09/2020,476.75
11/06/2020,476.75
11/05/2020,476.75
11/04/2020,476.75
11/03/2020,476.75
11/02/2020,482.52
10/30/2020,482.52
10/29/2020,482.52
10/28/2020,482.52
10/27/2020,487.07
10/26/2020,487.07
10/23/2020,487.07
10/22/2020,487.07
10/21/2020,487.07
10/20/2020,488.83
10/19/2020,488.83
10/16/2020,488.83
10/15/2020,488.83
10/14/2020,488.83
10/13/2020,495.09
10/12/2020,495.09
10/09/2020,495.09
10/08/2020,495.09
10/07/2020,495.09
10/06/2020,499.61
10/05/2020,499.61
10/02/2020,499.61
10/01/2020,499.61
09/30/2020,499.61
09/29/2020,510.99
09/28/2020,510.99
09/25/2020,510.99
09/24/2020,510.99
09/23/2020,510.99
09/22/2020,526.4
09/21/2020,526.4
09/18/2020,526.4
09/17/2020,526.4
09/16/2020,526.4
09/15/2020,532.66
09/14/2020,532.66
09/11/2020,532.66
09/10/2020,532.66
09/09/2020,532.66
09/08/2020,532.66
09/04/2020,532.66
09/03/2020,532.66
09/02/2020,532.66
09/01/2020,530.49
08/31/2020,530.49
08/28/2020,530.49
08/27/2020,530.49
08/26/2020,530.49
08/25/2020,528.46
08/24/2020,528.46
08/21/2020,528.46
08/20/2020,528.46
08/19/2020,528.46
08/18/2020,539.17
08/17/2020,539.17
08/14/2020,539.17
08/13/2020,539.17
08/12/2020,539.17
08/11/2020,544.73
08/10/2020,544.73
08/07/2020,544.73
08/06/2020,544.73
08/05/2020,544.73
08/04/2020,555.1
08/03/2020,555.1
07/31/2020,555.1
07/30/2020,555.1
07/29/2020,555.1
07/28/2020,579.34
07/27/2020,579.34
07/24/2020,579.34
07/23/2020,579.34
07/22/2020,579.34
07/21/2020,599.89
07/20/2020,599.89
07/17/2020,599.89
07/16/2020,599.89
07/15/2020,599.89
07/14/2020,625.44
07/13/2020,625.44
07/10/2020,625.44
07/09/2020,625.44
07/08/2020,625.44
07/07/2020,655.17
07/06/2020,655.17
07/02/2020,655.17
07/01/2020,655.17
06/30/2020,676.13
06/29/2020,676.13
06/26/2020,676.13
06/25/2020,676.13
06/24/2020,676.13
06/23/2020,703.48
06/22/2020,703.48
06/19/2020,703.48
06/18/2020,703.48
06/17/2020,703.48
06/16/2020,703.99
06/15/2020,703.99
06/12/2020,703.99
06/11/2020,703.99
06/10/2020,703.99
06/09/2020,697.04
06/08/2020,697.04
06/05/2020,697.04
06/04/2020,697.04
06/03/2020,697.04
06/02/2020,675.36
06/01/2020,675.36
05/29/2020,675.36
05/28/2020,675.36
05/27/2020,675.36
05/26/2020,674.16
05/22/2020,674.16
05/21/2020,674.16
05/20/2020,674.16
05/19/2020,666.53
05/18/2020,666.53
05/15/2020,666.53
05/14/2020,666.53
05/13/2020,666.53
05/12/2020,581.63
05/11/2020,581.63
05/08/2020,581.63
05/07/2020,581.63
05/06/2020,581.63
05/05/2020,394.76
05/04/2020,394.76
05/01/2020,394.76
04/30/2020,394.76
04/29/2020,394.76
04/28/2020,394.3
04/27/2020,394.3
04/24/2020,394.3
04/23/2020,394.3
04/22/2020,394.3
04/21/2020,393.84
04/20/2020,393.84
04/17/2020,393.84
04/16/2020,393.84
04/15/2020,393.84
04/14/2020,393.37
04/13/2020,393.37
04/09/2020,393.37
04/08/2020,393.37
04/07/2020,368.95
04/06/2020,368.95
04/03/2020,368.95
04/02/2020,368.95
04/01/2020,368.95
03/31/2020,299.47
03/30/2020,299.47
03/27/2020,299.47
03/26/2020,299.47
03/25/2020,299.47
03/24/2020,287.33
03/23/2020,287.33
03/20/2020,287.33
03/19/2020,287.33
03/18/2020,287.33
03/17/2020,244.75
03/16/2020,244.75
03/13/2020,244.75
03/12/2020,244.75
03/11/2020,244.75
03/10/2020,215.69
03/09/2020,215.69
03/06/2020,215.69
03/05/2020,215.69
03/04/2020,215.69
03/03/2020,220.41
03/02/2020,220.41
02/28/2020,220.41
02/27/2020,220.41
02/26/2020,220.41
02/25/2020,224.8
02/24/2020,224.8
02/21/2020,224.8
02/20/2020,224.8
02/19/2020,224.8
02/18/2020,225.08
